language,array_size,t_random_order,t_asc_order,t_des_order
Kotlin,500,5.7711,0.0098,0.6631
Kotlin,5000,27.0004,0.0071,14.4434
Kotlin,10000,105.3796,0.006,52.1819
Kotlin,500,0.2776,9.0E-4,0.128
Kotlin,5000,23.5472,0.0048,11.7538
Kotlin,10000,105.9999,0.0053,46.5022
Kotlin,500,0.2764,0.0028,0.1226
Kotlin,5000,23.8431,0.006,13.0407
Kotlin,10000,102.8282,0.0055,46.0197
Kotlin,500,0.2776,0.0017,0.1205
Kotlin,5000,24.4738,0.0045,12.6539
Kotlin,10000,103.4866,0.0068,54.0579
Kotlin,500,0.3485,0.0019,0.1356
Kotlin,5000,24.5048,0.0037,11.6082
Kotlin,10000,130.0465,0.008,60.3348
Kotlin,500,0.295,0.0011,0.1595
Kotlin,5000,24.2788,0.0046,14.4676
Kotlin,10000,105.3354,0.0053,52.5235
Kotlin,500,0.276,0.001,0.1291
Kotlin,5000,23.7498,0.0057,18.593
Kotlin,10000,110.6173,0.0056,48.2938
Kotlin,500,0.2803,9.0E-4,0.1295
Kotlin,5000,25.8756,0.0046,12.8104
Kotlin,10000,107.9351,0.0052,45.1995
Kotlin,500,0.2692,9.0E-4,0.1309
Kotlin,5000,23.2288,0.0036,11.8311
Kotlin,10000,103.485,0.0073,48.5866
Kotlin,500,0.2914,9.0E-4,0.1299
Kotlin,5000,23.1449,0.0033,12.5317
Kotlin,10000,105.4239,0.0056,54.7796
Kotlin,500,0.278,9.0E-4,0.1299
Kotlin,5000,23.2329,0.0051,13.2131
Kotlin,10000,104.2429,0.0056,53.4657
Kotlin,500,0.2797,9.0E-4,0.129
Kotlin,5000,23.3106,0.0035,12.0408
Kotlin,10000,107.5133,0.0067,49.0708
Kotlin,500,0.2735,9.0E-4,0.1278
Kotlin,5000,26.5577,0.0056,14.3813
Kotlin,10000,102.9805,0.0055,46.0589
Kotlin,500,0.2729,9.0E-4,0.128
Kotlin,5000,24.8952,0.0034,12.0404
Kotlin,10000,110.9394,0.0088,50.1364
Kotlin,500,0.2743,0.0018,0.1301
